text,annotations,params_str
"Можешь подобрать полимер с с средняя пермеабельностью по N2, дополнительно с маленькая ДП при 4 ГГц, но при этом небольшая ионизационная энергия, дополнительно с выдающаяся диэлектрической проницаемостью на 9 ГГц, чтобы сохранять форму под давлением","[{'param': 'permN2', 'label': 'средняя', 'phrase': 'с средняя пермеабельностью по N2', 'code': 'пермеаб_N2'}, {'param': 'epse_4.0', 'label': 'низкая', 'phrase': 'с маленькая ДП при 4 ГГц', 'code': 'ε@4'}, {'param': 'Ei', 'label': 'низкая', 'phrase': 'небольшая ионизационная энергия', 'code': 'потенц_ион'}, {'param': 'epse_9.0', 'label': 'высокая', 'phrase': 'с выдающаяся диэлектрической проницаемостью на 9 ГГц', 'code': 'эпс_9'}]",пермеаб_N2:средняя|ε@4:низкая|потенц_ион:низкая|эпс_9:высокая
"Мне нужен полимер с скромное число электронов, который имеет низкая плотность сшивки, и умеренная диэлектрическая постоянная, что важно для с нормальная диэлектрической проницаемостью на 4 ГГц, чтобы работать в агрессивных средах","[{'param': 'ne', 'label': 'низкая', 'phrase': 'скромное число электронов', 'code': 'кол_эл'}, {'param': 'Xe', 'label': 'низкая', 'phrase': 'низкая плотность сшивки', 'code': 'Xe'}, {'param': 'epsc', 'label': 'средняя', 'phrase': 'умеренная диэлектрическая постоянная', 'code': 'эпс_стат'}, {'param': 'epse_4.0', 'label': 'средняя', 'phrase': 'с нормальная диэлектрической проницаемостью на 4 ГГц', 'code': 'ε@4'}]",кол_эл:низкая|Xe:низкая|эпс_стат:средняя|ε@4:средняя
"Подбери полимер с с невысокая разрывной прочностью, что требуется большая теплоемкость, который имеет с стандартный модулем эластичности, необходимый для обеспечивать долговечность конструкции","[{'param': 'TSb', 'label': 'низкая', 'phrase': 'с невысокая разрывной прочностью', 'code': 'σ_разр'}, {'param': 'Cp', 'label': 'высокая', 'phrase': 'большая теплоемкость', 'code': 'Cp'}, {'param': 'YM', 'label': 'средняя', 'phrase': 'с стандартный модулем эластичности', 'code': 'E'}]",σ_разр:низкая|Cp:высокая|E:средняя
"Сгенерируй полимер, обладающий с высокая диэлектрической проницаемостью на 7 ГГц, но при этом с нормальное число электронов, и при этом стандартная плотность сшивания, который имеет умеренная проницаемость для водорода, еще , что необходимо средняя ДП на 15 ГГц, чтобы обеспечить обеспечивать высокую диэлектрическую прочность","[{'param': 'epse_7.0', 'label': 'высокая', 'phrase': 'с высокая диэлектрической проницаемостью на 7 ГГц', 'code': 'эпс_7'}, {'param': 'ne', 'label': 'средняя', 'phrase': 'с нормальное число электронов', 'code': 'кол_эл'}, {'param': 'Xe', 'label': 'средняя', 'phrase': 'стандартная плотность сшивания', 'code': 'сшив'}, {'param': 'permH2', 'label': 'средняя', 'phrase': 'умеренная проницаемость для водорода', 'code': 'проницаем_H2'}, {'param': 'epse_15.0', 'label': 'средняя', 'phrase': 'средняя ДП на 15 ГГц', 'code': 'ε@15'}]",эпс_7:высокая|кол_эл:средняя|сшив:средняя|проницаем_H2:средняя|ε@15:средняя
"Найди подходящий полимер с с маленькая эпсилон на 5 ГГц, но при этом низкая точка плавления, который имеет низкая ДП на 7 ГГц, что важно для нормальный модуль эластичности, который позволит обеспечивать устойчивость к ультрафиолету","[{'param': 'epse_5.0', 'label': 'низкая', 'phrase': 'с маленькая эпсилон на 5 ГГц', 'code': 'эпс_5'}, {'param': 'Tm', 'label': 'низкая', 'phrase': 'низкая точка плавления', 'code': 't_плавл'}, {'param': 'epse_7.0', 'label': 'низкая', 'phrase': 'низкая ДП на 7 ГГц', 'code': 'ε@7'}, {'param': 'YM', 'label': 'средняя', 'phrase': 'нормальный модуль эластичности', 'code': 'модуль_Юнга'}]",эпс_5:низкая|t_плавл:низкая|ε@7:низкая|модуль_Юнга:средняя
"Найди подходящий полимер с значительная эпсилон на 9 ГГц, дополнительно умеренная атомизационная энергия, а также умеренный предельный кислородный индекс, что важно скромная ДП на 3 ГГц, который позволит обеспечивать необходимую упругость материала","[{'param': 'epse_9.0', 'label': 'высокая', 'phrase': 'значительная эпсилон на 9 ГГц', 'code': 'ε@9'}, {'param': 'Eat', 'label': 'средняя', 'phrase': 'умеренная атомизационная энергия', 'code': 'энерг_атом'}, {'param': 'LOI', 'label': 'средняя', 'phrase': 'умеренный предельный кислородный индекс', 'code': 'инд_O2'}, {'param': 'epse_3.0', 'label': 'низкая', 'phrase': 'скромная ДП на 3 ГГц', 'code': 'ε@3'}]",ε@9:высокая|энерг_атом:средняя|инд_O2:средняя|ε@3:низкая
"Подскажи материал с маленькая энергия связей, и скромная проницаемость для CO2, который подходит для максимизировать эффективность процесса","[{'param': 'Egb', 'label': 'низкая', 'phrase': 'маленькая энергия связей', 'code': 'Egb'}, {'param': 'permCO2', 'label': 'низкая', 'phrase': 'скромная проницаемость для CO2', 'code': 'проницаем_CO2'}]",Egb:низкая|проницаем_CO2:низкая
"Требуется полимер с с маленькая точка плавления, что критично с стандартная диэлектрическая проницаемость на 1.78 ГГц, при этом маленькая проницаемость для водорода, еще , что необходимо высокая теплоемкость, способный работать в агрессивных средах","[{'param': 'Tm', 'label': 'низкая', 'phrase': 'с маленькая точка плавления', 'code': 't_плавл'}, {'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'с стандартная диэлектрическая проницаемость на 1.78 ГГц', 'code': 'дпр_1.78'}, {'param': 'permH2', 'label': 'низкая', 'phrase': 'маленькая проницаемость для водорода', 'code': 'P_H2'}, {'param': 'Cp', 'label': 'высокая', 'phrase': 'высокая теплоемкость', 'code': 'Cp'}]",t_плавл:низкая|дпр_1.78:средняя|P_H2:низкая|Cp:высокая
"Нужен материал с с низкая объемной плотностью, и при этом скромная проницаемость для гелия, что важно маленький модуль упругости, предназначенный для обеспечивать гибкость конструкции","[{'param': 'rho', 'label': 'низкая', 'phrase': 'с низкая объемной плотностью', 'code': 'ρ'}, {'param': 'permHe', 'label': 'низкая', 'phrase': 'скромная проницаемость для гелия', 'code': 'пермеаб_He'}, {'param': 'YM', 'label': 'низкая', 'phrase': 'маленький модуль упругости', 'code': 'E'}]",ρ:низкая|пермеаб_He:низкая|E:низкая
"Ищу материал с с скромная пермеабельность по CH4, при этом с маленькая пермеабельностью по He для максимизировать эффективность процесса","[{'param': 'permCH4', 'label': 'низкая', 'phrase': 'с скромная пермеабельность по CH4', 'code': 'пермеаб_CH4'}, {'param': 'permHe', 'label': 'низкая', 'phrase': 'с маленькая пермеабельностью по He', 'code': 'P_He'}]",пермеаб_CH4:низкая|P_He:низкая
"Нужен материал с с низкая пермеабельность по H2, при этом высокая эпсилон на 6 ГГц, и с нормальная потенциал ионизации, но при этом с скромная групповым вкладом, предназначенный для удерживать газовые смеси без утечек","[{'param': 'permH2', 'label': 'низкая', 'phrase': 'с низкая пермеабельность по H2', 'code': 'пермеаб_H2'}, {'param': 'epse_6.0', 'label': 'высокая', 'phrase': 'высокая эпсилон на 6 ГГц', 'code': 'эпс_6'}, {'param': 'Ei', 'label': 'средняя', 'phrase': 'с нормальная потенциал ионизации', 'code': 'ион_энерг'}, {'param': 'Egc', 'label': 'низкая', 'phrase': 'с скромная групповым вкладом', 'code': 'Egc'}]",пермеаб_H2:низкая|эпс_6:высокая|ион_энерг:средняя|Egc:низкая
"Подбери полимер с с большая удельная теплота, но при этом небольшая проницаемость для кислорода, необходимый для обеспечивать высокую диэлектрическую прочность","[{'param': 'Cp', 'label': 'высокая', 'phrase': 'с большая удельная теплота', 'code': 'теплоемк'}, {'param': 'permO2', 'label': 'низкая', 'phrase': 'небольшая проницаемость для кислорода', 'code': 'проницаем_O2'}]",теплоемк:высокая|проницаем_O2:низкая
"Хочу найти полимер с умеренная проницаемость для азота, при этом с маленькая диэлектрической проницаемостью на 3 ГГц, так как требуется обеспечивать качественную экструзию","[{'param': 'permN2', 'label': 'средняя', 'phrase': 'умеренная проницаемость для азота', 'code': 'пермеаб_N2'}, {'param': 'epse_3.0', 'label': 'низкая', 'phrase': 'с маленькая диэлектрической проницаемостью на 3 ГГц', 'code': 'эпс_3'}]",пермеаб_N2:средняя|эпс_3:низкая
"Какой полимер с с невысокая коэффициент проницаемости кислорода, при этом маленькая объемная плотность, а также с маленькая диэлектрическая проницаемость на 15 ГГц подойдёт, чтобы максимизировать эффективность процесса?","[{'param': 'permO2', 'label': 'низкая', 'phrase': 'с невысокая коэффициент проницаемости кислорода', 'code': 'пермеаб_O2'}, {'param': 'rho', 'label': 'низкая', 'phrase': 'маленькая объемная плотность', 'code': 'ρ'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'с маленькая диэлектрическая проницаемость на 15 ГГц', 'code': 'дпр_15'}]",пермеаб_O2:низкая|ρ:низкая|дпр_15:низкая
"Нужен материал с с маленькая диэлектрической проницаемостью на 5 ГГц, и при этом маленькая проницаемость для кислорода, что критично невысокая разрывная прочность, и с средняя электронное сродство, предназначенный для удерживать газовые смеси без утечек","[{'param': 'epse_5.0', 'label': 'низкая', 'phrase': 'с маленькая диэлектрической проницаемостью на 5 ГГц', 'code': 'эпс_5'}, {'param': 'permO2', 'label': 'низкая', 'phrase': 'маленькая проницаемость для кислорода', 'code': 'пермеаб_O2'}, {'param': 'TSb', 'label': 'низкая', 'phrase': 'невысокая разрывная прочность', 'code': 'TSb'}, {'param': 'Eea', 'label': 'средняя', 'phrase': 'с средняя электронное сродство', 'code': 'энерг_срод'}]",эпс_5:низкая|пермеаб_O2:низкая|TSb:низкая|энерг_срод:средняя
"Интересует полимер с скромная удельная теплоемкость, но при этом выдающаяся степень сшивания, обеспечивающий обеспечивать гибкость конструкции","[{'param': 'Cp', 'label': 'низкая', 'phrase': 'скромная удельная теплоемкость', 'code': 'удельн_теплоемк'}, {'param': 'Xe', 'label': 'высокая', 'phrase': 'выдающаяся степень сшивания', 'code': 'сшив'}]",удельн_теплоемк:низкая|сшив:высокая
"Ищу материал с стандартное количество атомов углерода, при этом с маленькая сродством к электрону, что критично с небольшая диэлектрическая постоянная, что критично с скромная групповым вкладом, и при этом умеренная ДП на 3 ГГц для минимизировать тепловые потери","[{'param': 'nc', 'label': 'средняя', 'phrase': 'стандартное количество атомов углерода', 'code': 'кол_C'}, {'param': 'Eea', 'label': 'низкая', 'phrase': 'с маленькая сродством к электрону', 'code': 'срод_эл'}, {'param': 'epsc', 'label': 'низкая', 'phrase': 'с небольшая диэлектрическая постоянная', 'code': 'εs'}, {'param': 'Egc', 'label': 'низкая', 'phrase': 'с скромная групповым вкладом', 'code': 'Egc'}, {'param': 'epse_3.0', 'label': 'средняя', 'phrase': 'умеренная ДП на 3 ГГц', 'code': 'ε@3'}]",кол_C:средняя|срод_эл:низкая|εs:низкая|Egc:низкая|ε@3:средняя
"Подбери полимер с нормальная статическая диэлектрическая проницаемость, что важно с значительная плотность сшивки, при этом небольшое число атомов углерода, необходимый для минимизировать тепловые потери","[{'param': 'epsc', 'label': 'средняя', 'phrase': 'нормальная статическая диэлектрическая проницаемость', 'code': 'дпр_стат'}, {'param': 'Xe', 'label': 'высокая', 'phrase': 'с значительная плотность сшивки', 'code': 'плотн_сшив'}, {'param': 'nc', 'label': 'низкая', 'phrase': 'небольшое число атомов углерода', 'code': 'число_C'}]",дпр_стат:средняя|плотн_сшив:высокая|число_C:низкая
"Подскажи материал с с средняя пермеабельностью по H2, что критично низкая статическая диэлектрическая проницаемость, который подходит для обеспечивать стабильность размеров","[{'param': 'permH2', 'label': 'средняя', 'phrase': 'с средняя пермеабельностью по H2', 'code': 'пермеаб_H2'}, {'param': 'epsc', 'label': 'низкая', 'phrase': 'низкая статическая диэлектрическая проницаемость', 'code': 'эпс_стат'}]",пермеаб_H2:средняя|эпс_стат:низкая
"Нужен состав с с низкое содержанием углерода, что важно большая ДП при 4 ГГц, который сохранять механическую прочность при низких температурах","[{'param': 'nc', 'label': 'низкая', 'phrase': 'с низкое содержанием углерода', 'code': 'число_C'}, {'param': 'epse_4.0', 'label': 'высокая', 'phrase': 'большая ДП при 4 ГГц', 'code': 'ε@4'}]",число_C:низкая|ε@4:высокая
"Планирую использовать материал с скромная энергия группового вклада, что критично с превосходная диэлектрической проницаемостью на 5 ГГц, но при этом средняя удельная масса, а также умеренная потенциал ионизации в условиях обеспечивать высокую газонепроницаемость","[{'param': 'Egc', 'label': 'низкая', 'phrase': 'скромная энергия группового вклада', 'code': 'вклад_гр'}, {'param': 'epse_5.0', 'label': 'высокая', 'phrase': 'с превосходная диэлектрической проницаемостью на 5 ГГц', 'code': 'эпс_5'}, {'param': 'rho', 'label': 'средняя', 'phrase': 'средняя удельная масса', 'code': 'ρ'}, {'param': 'Ei', 'label': 'средняя', 'phrase': 'умеренная потенциал ионизации', 'code': 'ион_энерг'}]",вклад_гр:низкая|эпс_5:высокая|ρ:средняя|ион_энерг:средняя
"Хочу найти полимер с с скромный модуль упругости, но при этом небольшая эпсилон на 5 ГГц, дополнительно с нормальная диэлектрической проницаемостью на 2 ГГц, что критично небольшая сродство к электрону, так как требуется обеспечивать огнестойкость материалов","[{'param': 'YM', 'label': 'низкая', 'phrase': 'с скромный модуль упругости', 'code': 'YM'}, {'param': 'epse_5.0', 'label': 'низкая', 'phrase': 'небольшая эпсилон на 5 ГГц', 'code': 'ε@5'}, {'param': 'epse_2.0', 'label': 'средняя', 'phrase': 'с нормальная диэлектрической проницаемостью на 2 ГГц', 'code': 'ε@2'}, {'param': 'Eea', 'label': 'низкая', 'phrase': 'небольшая сродство к электрону', 'code': 'срод_эл'}]",YM:низкая|ε@5:низкая|ε@2:средняя|срод_эл:низкая
"Мне нужен полимер с с скромная пермеабельностью по N2, что важно с невысокая пермеабельность по CH4, что важно для с высокая статической ДП, что критично низкое число атомов углерода, чтобы сохранять механическую прочность при низких температурах","[{'param': 'permN2', 'label': 'низкая', 'phrase': 'с скромная пермеабельностью по N2', 'code': 'проницаем_N2'}, {'param': 'permCH4', 'label': 'низкая', 'phrase': 'с невысокая пермеабельность по CH4', 'code': 'пермеаб_CH4'}, {'param': 'epsc', 'label': 'высокая', 'phrase': 'с высокая статической ДП', 'code': 'εs'}, {'param': 'nc', 'label': 'низкая', 'phrase': 'низкое число атомов углерода', 'code': 'число_C'}]",проницаем_N2:низкая|пермеаб_CH4:низкая|εs:высокая|число_C:низкая
"Мне нужен полимер с умеренная потенциал ионизации, который имеет значительная энергия внутренних связей, чтобы обеспечивать оптимальное тепловое расширение","[{'param': 'Ei', 'label': 'средняя', 'phrase': 'умеренная потенциал ионизации', 'code': 'Ei'}, {'param': 'Eib', 'label': 'высокая', 'phrase': 'значительная энергия внутренних связей', 'code': 'энерг_внутр'}]",Ei:средняя|энерг_внутр:высокая
"Интересует полимер с выдающийся модуль Юнга, что важно для невысокая степень сшивания, дополнительно низкая пермеабельность по CH4, что требуется с высокая энергия связей, и с низкая энергия ионизации, обеспечивающий обеспечивать оптимальное тепловое расширение","[{'param': 'YM', 'label': 'высокая', 'phrase': 'выдающийся модуль Юнга', 'code': 'YM'}, {'param': 'Xe', 'label': 'низкая', 'phrase': 'невысокая степень сшивания', 'code': 'Xe'}, {'param': 'permCH4', 'label': 'низкая', 'phrase': 'низкая пермеабельность по CH4', 'code': 'пермеаб_CH4'}, {'param': 'Egb', 'label': 'высокая', 'phrase': 'с высокая энергия связей', 'code': 'энерг_связ'}, {'param': 'Ei', 'label': 'низкая', 'phrase': 'с низкая энергия ионизации', 'code': 'Ei'}]",YM:высокая|Xe:низкая|пермеаб_CH4:низкая|энерг_связ:высокая|Ei:низкая
"Подбери полимер с с значительная теплоемкость, еще , что необходимо с небольшая коэффициент проницаемости кислорода, что требуется невысокое число электронов, что важно с стандартная пермеабельностью по He, необходимый для работать в высоковольтных условиях","[{'param': 'Cp', 'label': 'высокая', 'phrase': 'с значительная теплоемкость', 'code': 'Cp'}, {'param': 'permO2', 'label': 'низкая', 'phrase': 'с небольшая коэффициент проницаемости кислорода', 'code': 'пермеаб_O2'}, {'param': 'ne', 'label': 'низкая', 'phrase': 'невысокое число электронов', 'code': 'ne'}, {'param': 'permHe', 'label': 'средняя', 'phrase': 'с стандартная пермеабельностью по He', 'code': 'P_He'}]",Cp:высокая|пермеаб_O2:низкая|ne:низкая|P_He:средняя
"Требуется полимер с с скромная ДП при 3 ГГц, при этом с высокая напряжением текучести, способный передавать электрический сигнал без потерь","[{'param': 'epse_3.0', 'label': 'низкая', 'phrase': 'с скромная ДП при 3 ГГц', 'code': 'ε@3'}, {'param': 'TSy', 'label': 'высокая', 'phrase': 'с высокая напряжением текучести', 'code': 'TSy'}]",ε@3:низкая|TSy:высокая
"Найди подходящий полимер с с выдающаяся статической ДП, что требуется с стандартная диэлектрической проницаемостью на 2 ГГц, который позволит обеспечивать долговечность конструкции","[{'param': 'epsc', 'label': 'высокая', 'phrase': 'с выдающаяся статической ДП', 'code': 'эпс_стат'}, {'param': 'epse_2.0', 'label': 'средняя', 'phrase': 'с стандартная диэлектрической проницаемостью на 2 ГГц', 'code': 'ε@2'}]",эпс_стат:высокая|ε@2:средняя
"Хочу найти полимер с значительная ДП на 5 ГГц, что важно с стандартная энергия ионизации, так как требуется служить барьером для кислорода и влаги","[{'param': 'epse_5.0', 'label': 'высокая', 'phrase': 'значительная ДП на 5 ГГц', 'code': 'эпс_5'}, {'param': 'Ei', 'label': 'средняя', 'phrase': 'с стандартная энергия ионизации', 'code': 'потенц_ион'}]",эпс_5:высокая|потенц_ион:средняя
"Нужен состав с умеренная внутримолекулярная энергия, при этом большая ДП на 5 ГГц, еще , что необходимо стандартная ДП на 1.78 ГГц, что важно для скромная электронное сродство, который работать в условиях вакуума","[{'param': 'Eib', 'label': 'средняя', 'phrase': 'умеренная внутримолекулярная энергия', 'code': 'Eib'}, {'param': 'epse_5.0', 'label': 'высокая', 'phrase': 'большая ДП на 5 ГГц', 'code': 'дпр_5'}, {'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'стандартная ДП на 1.78 ГГц', 'code': 'дпр_1.78'}, {'param': 'Eea', 'label': 'низкая', 'phrase': 'скромная электронное сродство', 'code': 'Eea'}]",Eib:средняя|дпр_5:высокая|дпр_1.78:средняя|Eea:низкая
"Нужен состав с с превосходная диэлектрической проницаемостью на 2 ГГц, при этом с скромная напряжение текучести, при этом с стандартная пермеабельностью по He, который имеет с небольшой модулем эластичности, что важно для с большая диэлектрической проницаемостью на 6 ГГц, который работать в агрессивных средах","[{'param': 'epse_2.0', 'label': 'высокая', 'phrase': 'с превосходная диэлектрической проницаемостью на 2 ГГц', 'code': 'дпр_2'}, {'param': 'TSy', 'label': 'низкая', 'phrase': 'с скромная напряжение текучести', 'code': 'σ_тек'}, {'param': 'permHe', 'label': 'средняя', 'phrase': 'с стандартная пермеабельностью по He', 'code': 'P_He'}, {'param': 'YM', 'label': 'низкая', 'phrase': 'с небольшой модулем эластичности', 'code': 'модуль_Юнга'}, {'param': 'epse_6.0', 'label': 'высокая', 'phrase': 'с большая диэлектрической проницаемостью на 6 ГГц', 'code': 'ε@6'}]",дпр_2:высокая|σ_тек:низкая|P_He:средняя|модуль_Юнга:низкая|ε@6:высокая
"Интересует полимер с стандартная внутримолекулярная энергия, который имеет выдающаяся плотность сшивки, обеспечивающий изолировать электрические компоненты","[{'param': 'Eib', 'label': 'средняя', 'phrase': 'стандартная внутримолекулярная энергия', 'code': 'внутр_энерг'}, {'param': 'Xe', 'label': 'высокая', 'phrase': 'выдающаяся плотность сшивки', 'code': 'плотн_сшив'}]",внутр_энерг:средняя|плотн_сшив:высокая
"Подскажи материал с превосходное число электронов, а также скромная ионизационная энергия, что критично с скромная ДП при 3 ГГц, который имеет с умеренная диэлектрической проницаемостью на 5 ГГц, и с маленькая диэлектрической проницаемостью на 7 ГГц, который подходит для обеспечивать высокую диэлектрическую прочность","[{'param': 'ne', 'label': 'высокая', 'phrase': 'превосходное число электронов', 'code': 'число_эл'}, {'param': 'Ei', 'label': 'низкая', 'phrase': 'скромная ионизационная энергия', 'code': 'потенц_ион'}, {'param': 'epse_3.0', 'label': 'низкая', 'phrase': 'с скромная ДП при 3 ГГц', 'code': 'эпс_3'}, {'param': 'epse_5.0', 'label': 'средняя', 'phrase': 'с умеренная диэлектрической проницаемостью на 5 ГГц', 'code': 'эпс_5'}, {'param': 'epse_7.0', 'label': 'низкая', 'phrase': 'с маленькая диэлектрической проницаемостью на 7 ГГц', 'code': 'ε@7'}]",число_эл:высокая|потенц_ион:низкая|эпс_3:низкая|эпс_5:средняя|ε@7:низкая
"Хочу найти полимер с невысокий кислородный индекс, еще , что необходимо превосходная сродство к электрону, но при этом превосходная ДП при 6 ГГц, дополнительно средняя степень сшивания, так как требуется передавать электрический сигнал без потерь","[{'param': 'LOI', 'label': 'низкая', 'phrase': 'невысокий кислородный индекс', 'code': 'LOI'}, {'param': 'Eea', 'label': 'высокая', 'phrase': 'превосходная сродство к электрону', 'code': 'энерг_срод'}, {'param': 'epse_6.0', 'label': 'высокая', 'phrase': 'превосходная ДП при 6 ГГц', 'code': 'дпр_6'}, {'param': 'Xe', 'label': 'средняя', 'phrase': 'средняя степень сшивания', 'code': 'сшив'}]",LOI:низкая|энерг_срод:высокая|дпр_6:высокая|сшив:средняя
"Планирую использовать материал с высокая диэлектрическая постоянная, что важно для скромная ДП на 7 ГГц в условиях передавать электрический сигнал без потерь","[{'param': 'epsc', 'label': 'высокая', 'phrase': 'высокая диэлектрическая постоянная', 'code': 'эпс_стат'}, {'param': 'epse_7.0', 'label': 'низкая', 'phrase': 'скромная ДП на 7 ГГц', 'code': 'ε@7'}]",эпс_стат:высокая|ε@7:низкая
"Ищу материал с с нормальная диэлектрической проницаемостью на 15 ГГц, и при этом стандартная степень сшивания, что важно для выдающаяся когезионная плотность, при этом маленькая проницаемость для метана, еще , что необходимо выдающаяся предел прочности при разрыве для обеспечивать необходимую упругость материала","[{'param': 'epse_15.0', 'label': 'средняя', 'phrase': 'с нормальная диэлектрической проницаемостью на 15 ГГц', 'code': 'эпс_15'}, {'param': 'Xe', 'label': 'средняя', 'phrase': 'стандартная степень сшивания', 'code': 'Xe'}, {'param': 'CED', 'label': 'высокая', 'phrase': 'выдающаяся когезионная плотность', 'code': 'когез_энерг'}, {'param': 'permCH4', 'label': 'низкая', 'phrase': 'маленькая проницаемость для метана', 'code': 'P_CH4'}, {'param': 'TSb', 'label': 'высокая', 'phrase': 'выдающаяся предел прочности при разрыве', 'code': 'TSb'}]",эпс_15:средняя|Xe:средняя|когез_энерг:высокая|P_CH4:низкая|TSb:высокая
"Нужен материал с с умеренная эпсилон на 7 ГГц, а также большой модуль упругости, предназначенный для обеспечивать высокую газонепроницаемость","[{'param': 'epse_7.0', 'label': 'средняя', 'phrase': 'с умеренная эпсилон на 7 ГГц', 'code': 'эпс_7'}, {'param': 'YM', 'label': 'высокая', 'phrase': 'большой модуль упругости', 'code': 'модуль_Юнга'}]",эпс_7:средняя|модуль_Юнга:высокая
"Мне нужен полимер с нормальная потенциал ионизации, что важно нормальная ДП на 7 ГГц, что требуется выдающаяся проницаемость для азота, и при этом с нормальная диэлектрической проницаемостью на 1.78 ГГц, чтобы работать в высоковольтных условиях","[{'param': 'Ei', 'label': 'средняя', 'phrase': 'нормальная потенциал ионизации', 'code': 'Ei'}, {'param': 'epse_7.0', 'label': 'средняя', 'phrase': 'нормальная ДП на 7 ГГц', 'code': 'ε@7'}, {'param': 'permN2', 'label': 'высокая', 'phrase': 'выдающаяся проницаемость для азота', 'code': 'P_N2'}, {'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'с нормальная диэлектрической проницаемостью на 1.78 ГГц', 'code': 'ε@1.78'}]",Ei:средняя|ε@7:средняя|P_N2:высокая|ε@1.78:средняя
"Можешь подобрать полимер с скромная коэффициент проницаемости CO2, и высокая энергия внутренних связей, чтобы обеспечивать качественную экструзию","[{'param': 'permCO2', 'label': 'низкая', 'phrase': 'скромная коэффициент проницаемости CO2', 'code': 'проницаем_CO2'}, {'param': 'Eib', 'label': 'высокая', 'phrase': 'высокая энергия внутренних связей', 'code': 'Eib'}]",проницаем_CO2:низкая|Eib:высокая
"Нужен состав с низкая проницаемость для углекислого газа, который имеет с выдающаяся энергией когезии, что требуется с выдающаяся эпсилон на 7 ГГц, который имеет большая теплоемкость, что важно с большая напряжением пробоя, который обеспечивать надежную изоляцию","[{'param': 'permCO2', 'label': 'низкая', 'phrase': 'низкая проницаемость для углекислого газа', 'code': 'проницаем_CO2'}, {'param': 'CED', 'label': 'высокая', 'phrase': 'с выдающаяся энергией когезии', 'code': 'когез_энерг'}, {'param': 'epse_7.0', 'label': 'высокая', 'phrase': 'с выдающаяся эпсилон на 7 ГГц', 'code': 'эпс_7'}, {'param': 'Cp', 'label': 'высокая', 'phrase': 'большая теплоемкость', 'code': 'удельн_теплоемк'}, {'param': 'epsb', 'label': 'высокая', 'phrase': 'с большая напряжением пробоя', 'code': 'пробой'}]",проницаем_CO2:низкая|когез_энерг:высокая|эпс_7:высокая|удельн_теплоемк:высокая|пробой:высокая
"Подскажи материал с высокое число электронов, и превосходная ДП на 4 ГГц, при этом умеренная прочность на разрыв, который имеет небольшая ДП на 15 ГГц, что важно скромная теплоемкость, который подходит для обеспечивать высокую термостойкость","[{'param': 'ne', 'label': 'высокая', 'phrase': 'высокое число электронов', 'code': 'ne'}, {'param': 'epse_4.0', 'label': 'высокая', 'phrase': 'превосходная ДП на 4 ГГц', 'code': 'дпр_4'}, {'param': 'TSb', 'label': 'средняя', 'phrase': 'умеренная прочность на разрыв', 'code': 'TSb'}, {'param': 'epse_15.0', 'label': 'низкая', 'phrase': 'небольшая ДП на 15 ГГц', 'code': 'ε@15'}, {'param': 'Cp', 'label': 'низкая', 'phrase': 'скромная теплоемкость', 'code': 'Cp'}]",ne:высокая|дпр_4:высокая|TSb:средняя|ε@15:низкая|Cp:низкая
"Хочу найти полимер с с большая удельной теплоемкостью, еще , что необходимо с высокая сродством к электрону, что важно для с высокий индекс горючести, что требуется стандартная проницаемость для кислорода, но при этом с средняя ДП при 15 ГГц, так как требуется работать в условиях вакуума","[{'param': 'Cp', 'label': 'высокая', 'phrase': 'с большая удельной теплоемкостью', 'code': 'Cp'}, {'param': 'Eea', 'label': 'высокая', 'phrase': 'с высокая сродством к электрону', 'code': 'срод_эл'}, {'param': 'LOI', 'label': 'высокая', 'phrase': 'с высокий индекс горючести', 'code': 'LOI'}, {'param': 'permO2', 'label': 'средняя', 'phrase': 'стандартная проницаемость для кислорода', 'code': 'проницаем_O2'}, {'param': 'epse_15.0', 'label': 'средняя', 'phrase': 'с средняя ДП при 15 ГГц', 'code': 'эпс_15'}]",Cp:высокая|срод_эл:высокая|LOI:высокая|проницаем_O2:средняя|эпс_15:средняя
"Планирую использовать материал с средняя эпсилон на 1.78 ГГц, и при этом с средняя плотностью сшивки, что критично высокая плотность когезионной энергии в условиях обеспечивать оптимальное тепловое расширение","[{'param': 'epse_1.78', 'label': 'средняя', 'phrase': 'средняя эпсилон на 1.78 ГГц', 'code': 'ε@1.78'}, {'param': 'Xe', 'label': 'средняя', 'phrase': 'с средняя плотностью сшивки', 'code': 'Xe'}, {'param': 'CED', 'label': 'высокая', 'phrase': 'высокая плотность когезионной энергии', 'code': 'когез_энерг'}]",ε@1.78:средняя|Xe:средняя|когез_энерг:высокая
